update,timesteps,mean_ep_return,mean_ep_len,success_rate,flip_rate,pipe_gap_violation_rate,policy_loss,value_loss,entropy,elapsed_s
74,1212416,369.7186469977083,226.91,0.985,0.0,0.0,0.04204295203089714,27.88043975830078,2.6457066535949707,35.65470600128174
75,1228800,492.9487831223851,331.56,0.83,0.0,0.0,-0.004219852853566408,255.8379364013672,2.6505746841430664,36.15254354476929
76,1245184,590.9222882867801,414.35,0.71,0.0,0.0,0.02781425602734089,196.83651733398438,2.65712308883667,36.67275810241699
77,1261568,614.9316563271193,434.595,0.68,0.0,0.0,-0.015587640926241875,35.68226623535156,2.6754350662231445,37.12253522872925
78,1277952,679.3423393743662,490.14,0.595,0.0,0.0,0.03254111111164093,118.5426025390625,2.700974941253662,37.54731869697571
79,1294336,824.7466882998452,615.255,0.4,0.0,0.0,0.00726829469203949,285.6099853515625,2.7197771072387695,37.928306579589844
80,1310720,849.2992042603428,637.585,0.36,0.0,0.005,-0.010415581986308098,61.303714752197266,2.727506160736084,38.37627983093262
81,1327104,893.3955202638508,676.37,0.3,0.0,0.005,-0.01576765812933445,82.04942321777344,2.7432687282562256,38.86623477935791
82,1343488,1003.937999871278,775.27,0.13,0.0,0.005,0.015977786853909492,260.35955810546875,2.7610464096069336,39.34275794029236
83,1359872,1048.6742626025816,815.84,0.055,0.0,0.005,-4.699453711509705e-06,90.43596649169922,2.7989792823791504,39.73726987838745
84,1376256,1049.1079255313116,816.86,0.06,0.0,0.005,0.019518032670021057,67.5443115234375,2.8151233196258545,40.194947242736816
85,1392640,1032.2735963229625,804.865,0.09,0.0,0.005,0.004533310420811176,212.1083221435547,2.815553665161133,40.66655349731445
86,1409024,964.8378786070286,749.76,0.185,0.0,0.005,-0.02681657485663891,81.21331024169922,2.838961601257324,41.19260239601135
87,1425408,903.7416658831389,695.975,0.3,0.0,0.005,-0.010078889317810535,24.967668533325195,2.8414666652679443,41.56483244895935
88,1441792,891.3288072733397,684.68,0.33,0.0,0.005,0.013116473332047462,62.73139953613281,2.8643925189971924,42.05484652519226
89,1458176,867.0757508872266,661.75,0.405,0.0,0.0,0.0012600775808095932,147.90731811523438,2.8710851669311523,42.50127863883972
90,1474560,821.0487845758174,620.005,0.49,0.0,0.0,0.02906748279929161,95.33966064453125,2.8836588859558105,42.912036180496216
91,1490944,803.3167795051735,605.42,0.515,0.0,0.005,0.003428288735449314,72.17669677734375,2.8932151794433594,43.36061429977417
92,1507328,798.5271854653975,604.23,0.505,0.0,0.015,-0.006026734597980976,153.84451293945312,2.9045166969299316,43.803624629974365
93,1523712,801.7767242058239,608.215,0.5,0.0,0.015,-0.008604666218161583,65.67494201660156,2.923809289932251,44.25248050689697
94,1540096,825.1003480669399,632.315,0.45,0.0,0.02,-0.0015540518797934055,172.79995727539062,2.926457643508911,44.735368728637695
95,1556480,874.0413092439985,678.995,0.37,0.0,0.025,0.006594747304916382,153.59619140625,2.932896614074707,45.20323419570923
