t_s,x,y,z,roll_deg,pitch_deg,yaw_deg
0.0,-0.049456067517392545,-0.01838933257339416,-2.9356037369355374,0.5819232573978397,2.760692698919571,112.3540223960785
0.05,-0.048990878160740055,-0.01715435375101385,-2.938193105842517,0.7298516227322726,3.0150131352746388,110.87720641445584
0.1,-0.04742635474980193,-0.01361413616373249,-2.945862182826171,1.1327310810210345,3.758325312683599,106.91977293585587
0.15000000000000002,-0.04440134815845432,-0.008200088932360683,-2.958409553017588,1.6794199446679605,4.920569512731242,101.38126443181724
0.2,-0.0395846310319148,-0.001501782336320293,-2.975594322132421,2.2214793662961982,6.3773644516507595,94.96054765570358
0.25,-0.0327559404346458,0.0058447765886452605,-2.9971257202765345,2.613331808223878,7.9762094476859255,88.04739376474815
0.30000000000000004,-0.023798878403722506,0.013236575900007392,-3.022639962963251,2.7373439578143324,9.561642963835386,80.83069901692869
0.35000000000000003,-0.012660667691757076,0.020149066289887347,-3.0516948661603767,2.5164129257476002,10.989667678966779,73.40546563340645
0.4,0.0006865648714073028,0.02615945807088119,-3.0837734020499004,1.9151629949804314,12.129134870632933,65.8386447670256
0.45,0.016275443450484435,0.03095701083964657,-3.1182890801362744,0.9367455781487803,12.859096215873782,58.20199320514084
0.5,0.03415541565824906,0.03431360506018194,-3.154599573165884,-0.3720882533528426,13.080795125233763,50.58789863138097
0.55,0.054388029113652564,0.03609587270768227,-3.1920272156833693,-1.935370767746129,12.717511180820587,43.10201256160958
0.6000000000000001,0.0770387265468077,0.036263626685465664,-3.2298746516535695,-3.658808385842783,11.743339888353608,35.85493077566473
0.65,0.10212567254088645,0.034826329403147276,-3.2674586676659514,-5.424012430525171,10.220496025813713,28.948695119629694
0.7000000000000001,0.12958730970707164,0.03185115346617682,-3.30416921502052,-7.104145199224216,8.277451234869385,22.457911704903427
0.75,0.1589132348645086,0.027349447692953627,-3.339479260408065,-8.554973913940097,6.1325846108905955,16.589293443291016
0.8,0.189515166702806,0.021613991008735713,-3.373106246688941,-9.705861752271566,3.9729882466668034,11.38928751838273
0.8500000000000001,0.22120392278056816,0.01515449587729811,-3.404974284461188,-10.54410741968441,1.8971059808886162,6.741018854882918
0.9,0.2538638182786962,0.008460036215203696,-3.4350936397526417,-11.05438197027488,-0.007942625390714018,2.5807626807373185
0.9500000000000001,0.2874472148708412,0.001996494876224471,-3.4635433428538693,-11.224299315610104,-1.671254548590986,-1.131453089601533
1.0,0.32196226392356436,-0.0037986980243977725,-3.4904472216582314,-11.0428265251589,-3.0391601154227237,-4.421463940575534
1.05,0.3574550409571284,-0.008531128004354072,-3.515946894730049,-10.506988103920792,-4.07509812453026,-7.304392827234689
1.1,0.3939862881841515,-0.011867078562440134,-3.540176196076551,-9.641963329646833,-4.760334686845316,-9.786390832824948
1.1500000000000001,0.43160841762948626,-0.013537019638127132,-3.5632451622314623,-8.504091453087055,-5.094977682046673,-11.866928688066066
1.2000000000000002,0.47034993781074363,-0.013329981741563766,-3.5852339660860997,-7.170509712625606,-5.101833394668849,-13.541814936973905
1.25,0.5102100923867627,-0.011082645582285947,-3.606190294284167,-5.723690002404041,-4.83319732735152,-14.80727462494002
1.3,0.5511557710222248,-0.006666306807962407,-3.626129118565776,-4.236945280248736,-4.362265552145827,-15.666792038664497
1.35,0.5931196235073408,2.2699618742147085e-05,-3.6450378196695934,-2.7663469411292,-3.7678847882555817,-16.13671958855479
1.4000000000000001,0.6360017303300953,0.009065667589850118,-3.662884436473609,-1.349606272859741,-3.122620874890944,-16.248670077812605
1.4500000000000002,0.6796746884058846,0.020517463276787225,-3.6796270374928692,-0.008874741721420422,-2.4856587773517385,-16.051296617227642
1.5,0.7239931238149219,0.03439494189053529,-3.695222860301116,1.245514849066561,-1.899414709958869,-15.616096246117747
1.55,0.769186507285875,0.05050488158000232,-3.7095424972008826,2.441673994648363,-1.3701475929195188,-14.9106783441271
1.6,0.8153866730256539,0.0687318041050204,-3.722466356362514,3.6038434869337417,-0.8962400512946646,-13.935049340509744
1.6500000000000001,0.8623182650514779,0.08908179473585251,-3.7339733638641466,4.725413417967592,-0.48320792051316913,-12.829799260966373
1.7000000000000002,0.9097585529149511,0.11145454793155288,-3.7440680928973338,5.804355423534346,-0.12249916089195637,-11.72260414713039
